SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14893,14894,,NC-00079,ENFIELD,27823,HALIFAX,NC,"11,523.00","11,523.00",0.00,"10,000.00","10,000.00",0.00
14893,14894,,NC-00079,LEWISTON WOODVILLE,27849,BERTIE,NC,"24,202.00","15,502.00","8,700.00","24,300.00","15,600.00","8,700.00"
14893,14894,,NC-00079,WILLIAMSTON,27892,MARTIN,NC,"21,260.00","20,160.00","1,100.00",0.00,0.00,0.00
14893,14894,,NC-00079,WINDSOR,27983,BERTIE,NC,"253,147.00","157,357.00","95,790.00","112,400.00","55,100.00","57,300.00"
14903,14904,,MS-00092,CENTREVILLE,39631,AMITE,MS,"29,170.00","29,170.00",0.00,0.00,0.00,0.00
14903,14904,,MS-00092,CLINTON,70722,EAST FELICIANA,LA,"71,182.00","50,182.00","21,000.00","71,200.00","50,200.00","21,000.00"
14903,14904,,MS-00092,CROSBY,39633,WILKINSON,MS,"143,317.00","91,617.00","51,700.00","69,100.00","47,600.00","21,500.00"
14903,14904,,MS-00092,NATCHEZ,39120,ADAMS,MS,"62,596.00","52,621.00","9,975.00",0.00,0.00,0.00
14907,14908,,IA-00067,CHARLES CITY,50616,FLOYD,IA,"27,902.00","22,202.00","5,700.00","23,000.00","17,300.00","5,700.00"
14907,14908,,IA-00067,CLARKSVILLE,50619,BUTLER,IA,"1,415,280.00","1,222,470.00","192,810.00","1,058,100.00","864,400.00","148,400.00"
14907,14908,,IA-00067,GREENE,50636,BUTLER,IA,"724,656.00","602,311.00","122,345.00","400,400.00","306,700.00","93,700.00"
14907,14908,,IA-00067,GREENE,50636,FLOYD,IA,"41,931.00","31,306.00","10,625.00","42,000.00","31,300.00","10,700.00"
14907,14908,,IA-00067,MASON CITY,50401,CERRO GORDO,IA,"14,748.00","9,948.00","4,800.00","14,800.00","10,000.00","4,800.00"
14907,14908,,IA-00067,PLAINFIELD,50666,BREMER,IA,"41,845.00","25,550.00","16,295.00","25,000.00","13,300.00","11,700.00"
14907,14908,,IA-00067,SHELL ROCK,50670,BUTLER,IA,"272,766.00","195,441.00","77,325.00","261,100.00","193,600.00","67,500.00"
14911,14912,4285,NC-00081,ABERDEEN,28315,MOORE,NC,"24,336.00","20,736.00","3,600.00","23,600.00","20,000.00","3,600.00"
14911,14912,4285,NC-00081,AHOSKIE,27910,BERTIE,NC,"107,851.00","93,451.00","14,400.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,AHOSKIE,27910,HERTFORD,NC,"216,331.00","163,196.00","53,135.00","89,900.00","71,700.00","18,200.00"
14911,14912,4285,NC-00081,ALBERTSON,28508,DUPLIN,NC,"24,030.00","24,030.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,ANGIER,27501,HARNETT,NC,"33,059.00","33,059.00",0.00,"12,400.00","12,400.00",0.00
14911,14912,4285,NC-00081,APEX,27539,WAKE,NC,"102,595.00","90,495.00","12,100.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,ATKINSON,28421,PENDER,NC,"1,205,925.00","865,605.00","340,320.00","807,000.00","589,800.00","217,200.00"
