Zip Code,Location,City,Avg. Income/H/hold
33945,"26.582563, -82.213061","Pineland, Florida","$131,250.00"
33921,"26.754759, -82.256777","Boca Grande, Florida","$127,020.00"
33158,"25.635974, -80.307064","Miami, Florida","$118,410.00"
33327,"26.110800, -80.414644","Fort Lauderdale, Florida","$100,481.00"
34250,"27.585636, -82.580883","Terra Ceia, Florida","$100,000.00"
34786,"28.445548, -81.571162","Windermere, Florida","$99,671.00"
33332,"26.059091, -80.416122","Fort Lauderdale, Florida","$99,269.00"
33146,"25.720850, -80.272571","Miami, Florida","$96,609.00"
33076,"26.311845, -80.268010","Pompano Beach, Florida","$95,989.00"
34228,"27.385181, -82.635860","Longboat Key, Florida","$90,251.00"
32963,"27.638979, -80.357806","Vero Beach, Florida","$90,105.00"
33331,"26.059499, -80.371645","Fort Lauderdale, Florida","$88,530.00"
33156,"25.668203, -80.297010","Miami, Florida","$86,823.00"
33149,"25.716163, -80.159358","Key Biscayne, Florida","$86,244.00"
33330,"26.060440, -80.329976","Fort Lauderdale, Florida","$84,887.00"
33480,"26.727504, -80.035737","Palm Beach, Florida","$84,191.00"
32259,"30.080710, -81.583853","Saint Johns, Florida","$80,945.00"
33067,"26.305701, -80.222368","Pompano Beach, Florida","$80,040.00"
33626,"28.063123, -82.602722","Tampa, Florida","$79,561.00"
33957,"26.444829, -82.058401","Sanibel, Florida","$78,780.00"
34201,"27.401868, -82.468340","Bradenton, Florida","$78,449.00"
33498,"26.396011, -80.220252","Boca Raton, Florida","$78,244.00"
32836,"28.407231, -81.518953","Orlando, Florida","$77,273.00"
33029,"25.999948, -80.400485","Hollywood, Florida","$76,992.00"
32779,"28.727012, -81.415068","Longwood, Florida","$76,806.00"
33496,"26.405406, -80.157545","Boca Raton, Florida","$74,769.00"
33913,"26.514239, -81.696796","Fort Myers, Florida","$74,564.00"
32082,"30.150435, -81.385606","Ponte Vedra Beach, Florida","$73,987.00"
32312,"30.595254, -84.251346","Tallahassee, Florida","$73,316.00"
