Zip Code,Location,City,Avg. Income/H/hold
966,"18.400335, -66.114661","Guaynabo, Puerto Rico","$49,354.00"
968,"18.407775, -66.101312","Guaynabo, Puerto Rico","$38,075.00"
934,"18.411812, -66.121215","Fort Buchanan, Puerto Rico","$37,063.00"
969,"18.368624, -66.108963","Guaynabo, Puerto Rico","$35,516.00"
604,"18.492373, -67.138234","Aguadilla, Puerto Rico","$31,199.00"
927,"18.397628, -66.065611","San Juan, Puerto Rico","$30,625.00"
979,"18.438709, -65.999474","Carolina, Puerto Rico","$29,234.00"
918,"18.421474, -66.067762","San Juan, Puerto Rico","$27,639.00"
926,"18.346846, -66.056617","San Juan, Puerto Rico","$26,306.00"
911,"18.451156, -66.057409","San Juan, Puerto Rico","$24,987.00"
987,"18.375884, -65.964094","Carolina, Puerto Rico","$23,884.00"
961,"18.411177, -66.158209","Bayamon, Puerto Rico","$23,219.00"
959,"18.382818, -66.154751","Bayamon, Puerto Rico","$22,301.00"
976,"18.337063, -66.000204","Trujillo Alto, Puerto Rico","$22,143.00"
907,"18.451642, -66.083896","San Juan, Puerto Rico","$21,485.00"
982,"18.415125, -65.995854","Carolina, Puerto Rico","$20,906.00"
920,"18.418443, -66.088935","San Juan, Puerto Rico","$20,759.00"
953,"18.364556, -66.244669","Toa Alta, Puerto Rico","$20,313.00"
983,"18.414757, -65.975487","Carolina, Puerto Rico","$20,012.00"
949,"18.429005, -66.213373","Toa Baja, Puerto Rico","$18,968.00"
985,"18.354723, -65.939382","Carolina, Puerto Rico","$18,854.00"
956,"18.319539, -66.168890","Bayamon, Puerto Rico","$17,956.00"
957,"18.368533, -66.187693","Bayamon, Puerto Rico","$17,866.00"
775,"18.321573, -65.374613","Culebra, Puerto Rico","$17,008.00"
660,"18.135593, -67.113645","Hormigueros, Puerto Rico","$16,745.00"
725,"18.214723, -66.054737","Caguas, Puerto Rico","$16,558.00"
778,"18.272581, -65.981177","Gurabo, Puerto Rico","$16,451.00"
735,"18.251473, -65.667381","Ceiba, Puerto Rico","$16,440.00"
646,"18.435949, -66.278379","Dorado, Puerto Rico","$16,378.00"
971,"18.318375, -66.119257","Guaynabo, Puerto Rico","$16,045.00"
